True_Label,Predicted_Label,Predicted_Proba,Correct,Prediction_Type
1,1,0.6938205994905479,True,True Positive (TP)
0,0,0.12752295825534532,True,True Negative (TN)
1,0,0.3692438591388241,False,
0,0,0.010927083624214608,True,True Negative (TN)
0,0,0.0035652066424716987,True,True Negative (TN)
1,0,0.11095211115560571,False,
0,0,0.0205777821541485,True,True Negative (TN)
0,1,0.6530402246858089,False,False Positive (FP)
0,0,0.03854970717208122,True,True Negative (TN)
1,1,0.7246368060698088,True,True Positive (TP)
0,0,0.012550360575534108,True,True Negative (TN)
0,0,0.47996272941536217,True,True Negative (TN)
0,0,0.22153304611686517,True,True Negative (TN)
0,1,0.6397610955913845,False,False Positive (FP)
0,0,0.025264020183153615,True,True Negative (TN)
0,0,0.15772605905826156,True,True Negative (TN)
1,0,0.2906322297941167,False,
0,0,0.31810262297378056,True,True Negative (TN)
0,0,0.22944212949671772,True,True Negative (TN)
0,0,0.08717133301727993,True,True Negative (TN)
0,0,0.3509878432883225,True,True Negative (TN)
1,1,0.9628343907919761,True,True Positive (TP)
0,0,0.08394466456248277,True,True Negative (TN)
0,1,0.8606670662889314,False,False Positive (FP)
0,0,0.018274286192090816,True,True Negative (TN)
0,1,0.6040786743737544,False,False Positive (FP)
0,1,0.8206267877900592,False,False Positive (FP)
0,0,0.356703888981504,True,True Negative (TN)
1,1,0.704063406527493,True,True Positive (TP)
0,1,0.580670567574912,False,False Positive (FP)
1,0,0.1296551847142025,False,
0,0,0.2699819553080311,True,True Negative (TN)
1,1,0.83795261250244,True,True Positive (TP)
0,0,0.48033169293353284,True,True Negative (TN)
0,0,0.021084524792726333,True,True Negative (TN)
1,1,0.7232027687703995,True,True Positive (TP)
0,0,0.42217771123836784,True,True Negative (TN)
0,0,0.007473196506942458,True,True Negative (TN)
0,0,0.3276000156726743,True,True Negative (TN)
0,0,0.44435329257849815,True,True Negative (TN)
0,0,0.1720229681545933,True,True Negative (TN)
0,0,0.33797217350000053,True,True Negative (TN)
1,0,0.36682587752388424,False,
1,1,0.6957223511679566,True,True Positive (TP)
1,1,0.9312625721083219,True,True Positive (TP)
0,0,0.32304894840945236,True,True Negative (TN)
1,0,0.4270262396936005,False,
0,0,0.09469114990080041,True,True Negative (TN)
0,0,0.11035739310171316,True,True Negative (TN)
0,0,0.2042201701767775,True,True Negative (TN)
1,1,0.7068282760186725,True,True Positive (TP)
1,1,0.6556675688089579,True,True Positive (TP)
1,1,0.7353263571375542,True,True Positive (TP)
0,1,0.8092006852070169,False,False Positive (FP)
0,0,0.05938052475116759,True,True Negative (TN)
1,1,0.817946427934341,True,True Positive (TP)
0,0,0.4028281879906745,True,True Negative (TN)
0,0,0.1348798175537238,True,True Negative (TN)
1,1,0.9870155682218001,True,True Positive (TP)
0,0,0.09055025058290771,True,True Negative (TN)
0,0,0.18488208604226405,True,True Negative (TN)
0,0,0.005045873192397236,True,True Negative (TN)
0,0,0.31573305307998917,True,True Negative (TN)
1,0,0.46981781684281837,False,
0,0,0.3946998882755754,True,True Negative (TN)
0,0,0.08209900455445074,True,True Negative (TN)
1,1,0.762882244629281,True,True Positive (TP)
0,0,0.06751271344511628,True,True Negative (TN)
1,1,0.9261273859637248,True,True Positive (TP)
1,1,0.9349423666283362,True,True Positive (TP)
1,0,0.43410985412390746,False,
0,0,0.08016544789510578,True,True Negative (TN)
0,0,0.16605271618338682,True,True Negative (TN)
1,1,0.8934167182714368,True,True Positive (TP)
0,0,0.1951911507363705,True,True Negative (TN)
0,0,0.16094963307348484,True,True Negative (TN)
1,1,0.595856196435451,True,True Positive (TP)
0,1,0.7330055620731653,False,False Positive (FP)
0,0,0.00933927869742601,True,True Negative (TN)
0,0,0.012633122248684714,True,True Negative (TN)
1,1,0.5326294570072015,True,True Positive (TP)
1,0,0.4058649257420453,False,
0,0,0.027092466764443005,True,True Negative (TN)
0,0,0.11590818094825428,True,True Negative (TN)
0,0,0.023831087900481374,True,True Negative (TN)
1,1,0.9742513087042731,True,True Positive (TP)
0,1,0.5693180887132643,False,False Positive (FP)
0,0,0.3140027230614481,True,True Negative (TN)
1,1,0.7869410985259936,True,True Positive (TP)
0,0,0.003543002140597907,True,True Negative (TN)
1,0,0.4637889388787957,False,
0,0,0.03835265899464938,True,True Negative (TN)
0,1,0.7275510228786962,False,False Positive (FP)
0,0,0.2608033949178095,True,True Negative (TN)
1,1,0.9508520347705002,True,True Positive (TP)
1,1,0.5503852949106124,True,True Positive (TP)
1,1,0.791985253484001,True,True Positive (TP)
1,1,0.8932034393141582,True,True Positive (TP)
0,0,0.4929987706112439,True,True Negative (TN)
0,0,0.024186462037566206,True,True Negative (TN)
0,0,0.021683970088453287,True,True Negative (TN)
0,0,0.09881865405197159,True,True Negative (TN)
0,0,0.04497845219608887,True,True Negative (TN)
1,1,0.9535448590591802,True,True Positive (TP)
1,0,0.16249083264432904,False,
0,0,0.4384302206692852,True,True Negative (TN)
0,0,0.04280644397146488,True,True Negative (TN)
0,0,0.01868734980813677,True,True Negative (TN)
0,0,0.25547013090313925,True,True Negative (TN)
1,0,0.26026343649206307,False,
0,1,0.8501253261953631,False,False Positive (FP)
0,0,0.34285148401652615,True,True Negative (TN)
0,0,0.17479141686013946,True,True Negative (TN)
0,0,0.1310793046613903,True,True Negative (TN)
1,1,0.6691465266296053,True,True Positive (TP)
0,0,0.013673183125115512,True,True Negative (TN)
0,0,0.005988247242912393,True,True Negative (TN)
0,0,0.1321617756593666,True,True Negative (TN)
0,0,0.17324397717809945,True,True Negative (TN)
